,2022-12-27 0:00,D-1,D-7,MTD,QTD,YTD,Yr High,Yr Low
KOSPI,2313.689941,0,-0.85,-5.37,6.24,-29.64,3020.23999,2155.48999
KOSDAQ,691.25,0,-1.72,-6.12,2.51,-46.31,1033.97998,651.5900269
DOW,33203.92969,0,1.07,-3.44,10.6,-9.33,36799.64844,28725.50977
S&P,3844.820068,0,0.6,-4.72,3.27,-24.61,4796.560059,3577.030029
NASSDAQ,10497.86035,0,-0.47,-6.94,-5.28,-51.19,15871.25977,10321.38965
일본(Nikkei225),26235.25,0,-1.27,-7.81,0.23,-9.31,29332.16016,24717.5293
유럽(Euro Stoxx 50),3817.01001,0,0.38,-3.81,12.62,-12.34,4392.149902,3279.040039
중국(상해),3045.865967,0,-0.92,-1.83,0.03,-18.72,3639.780029,2886.429932
홍콩(H),19593.06055,0,2.54,10.31,11.95,-18.53,24965.55078,14687.01953
국채 10Y,3.612,-2.8,2.8,-0.1,-61.9,140,4.655,2.175
국채 2Y,3.761,-1.4,-3.4,-0.3,-50.5,209,4.489,1.67
회사채AA-,5.188,-2.9,-11.5,-20.5,-23.2,278.4,5.76,2.396
Dollar Index,104.0100021,0,0.39,-1.83,-8.17,7.62,114.0469971,94.77500153
USD/KRW,1290.199951,0,-0.86,-2.15,-10.55,8.08,1443.959961,1183.670044
EUR,1.060333014,0,-0.11,1.84,9.5,-6.8,1.145711541,0.959619164
GBP,1.203992486,0,-0.94,-0.61,10.9,-11.33,1.371365905,1.072754145
JPY,132.3569946,0,-3.5,-4.72,-9.32,13.62,150.1759949,113.7850037
CNH,6.982999802,0,0.06,-2.4,-2.78,8.83,7.303800106,6.308400154
WTI,79.55999756,0,4.36,4.12,-3.26,5.02,123.6999969,71.01999664
Brent,83.91999817,0,4.68,0.35,-6.43,6.34,127.9800034,76.09999847
금,1795.900024,0,-1.11,2.37,7.54,-0.68,2040.099976,1623.300049
은,23.76399994,0,-1.39,9.84,20.91,3.3,26.88800049,17.5510006
철광석,433,0,1.85,13.39,7.62,-35.1,900,350
구리,3.802999973,0,0.14,4.64,11.07,-17.41,4.928999901,3.210500002
옥수수,666.25,0,2.14,-0.26,-0.64,7.73,818.25,564.25
밀,874.75,0,3.17,-5.4,-11.57,3.17,1367.75,745
커피,172,0,2.44,4.91,-32.97,-32.01,258.3500061,151.3000031
천연가스,5.078999996,0,-4.86,-38.29,-35.22,20.06,9.680000305,3.561000109
알루미늄,2413.5,0,1.51,1.92,12.4,-16.35,3873,2098.75
