,2023-01-30 00:00:00,D-1,D-7,MTD,QTD,YTD,Yr High,Yr Low
KOSPI,2484.02001953125,0.0,3.57,9.97,5.99,-7.22,2771.929931640625,2155.489990234375
KOSDAQ,741.25,0.0,3.14,8.36,5.56,-17.76,952.469970703125,651.5900268554688
DOW,33978.078125,0.0,1.03,2.45,3.9,-2.2,35768.05859375,28725.509765625
S&P,4070.56005859375,0.0,1.25,5.68,5.27,-8.88,4631.60009765625,3577.030029296875
NASSDAQ,11621.7099609375,0.0,2.21,9.94,6.29,-18.49,14619.6396484375,10213.2900390625
일본(Nikkei225),27382.560546875,0.0,1.74,4.7,-1.08,2.43,29222.76953125,24717.529296875
유럽(Euro Stoxx 50),4178.009765625,0.0,0.65,9.2,12.61,0.98,4224.4501953125,3279.0400390625
중국(상해),3264.81005859375,0.0,0.0,5.38,8.01,-2.96,3490.760009765625,2886.429931640625
홍콩(H),22688.900390625,0.0,2.84,12.81,31.88,-3.8,24924.349609375,14687.01953125
국채 10Y,3.239,-4.8,-3.3,-49.6,-93.2,64.9,4.655,2.568
국채 2Y,3.711,0.0,0.0,-8.0,-43.9,172.1,4.489,1.94
회사채AA-,4.336,0.0,-6.8,-86.1,-118.0,157.4,5.76,2.73
Dollar Index,101.72100067138672,0.0,0.05,-1.52,-9.34,5.1,114.0469970703125,95.37899780273438
USD/KRW,1231.8499755859375,0.0,0.21,-2.36,-15.0,1.96,1443.9599609375,1192.4000244140625
EUR,1.0894432067871094,0.0,0.18,1.7,9.33,-2.37,1.145514726638794,0.9596191644668579
GBP,1.2415266036987305,0.0,0.29,2.38,7.46,-7.96,1.3618782758712769,1.072754144668579
JPY,129.8000030517578,0.0,-0.61,-0.81,-13.96,11.2,150.17599487304688,114.38200378417969
CNY,6.78249979019165,0.0,-0.01,-1.69,-7.28,6.36,7.303800106048584,6.3084001541137695
WTI,79.68000030517578,0.0,-0.56,-0.73,-12.95,-10.63,123.69999694824219,71.0199966430664
Brent,86.66000366210938,0.0,0.61,0.87,-10.96,-5.25,127.9800033569336,76.0999984741211
금,1928.5999755859375,0.0,-0.27,5.65,14.67,6.93,2040.0999755859375,1623.300048828125
은,23.527000427246094,0.0,-0.52,-1.42,16.69,4.81,26.88800048828125,17.551000595092773
철광석,460.0,0.0,0.0,7.61,18.48,-11.96,900.0,350.0
구리,4.223999977111816,0.0,-0.51,9.91,17.01,-2.23,4.928999900817871,3.2105000019073486
옥수수,683.0,0.0,0.88,0.66,-0.66,8.35,818.25,564.25
밀,869.25,0.0,4.08,-2.16,-8.17,10.12,1367.75,769.0
커피,169.1999969482422,0.0,5.53,1.12,-7.65,-38.95,258.3500061035156,143.89999389648438
천연가스,3.1089999675750732,0.0,-4.79,-43.94,-101.61,-56.77,9.680000305175781,2.944000005722046
알루미늄,2638.75,0.0,-0.99,8.66,14.11,-16.66,3873.0,2098.75
